trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.5, 'e': 0.9429878754988968}",20,0,-92.04413915551518,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.9416826817550104}",30,0,-100.02706852176448,"{0: 20, 1: 6, 2: 2, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.9403631650356887}",25,0,-106.55955578421806,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9390293454107558}",20,0,-92.31611401624583,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9376812431675825}",20,0,-85.02764950134934,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9363188788107778}",25,2,-165.26414558207284,"{0: 9, 1: 3, 2: 8, 3: 2, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.9349422730618774}",30,0,-193.98904505335148,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.9335514468590281}",20,0,-80.28607607575023,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9321464213566698}",20,0,-43.91956158639649,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.9307272179252132}",25,0,-61.86617174516386,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.9292938581507151}",20,0,-99.95279944279405,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.9278463638345501}",25,0,-217.06085628387058,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.9263847569930788}",35,0,-207.12688622849606,"{0: 22, 1: 4, 2: 4, 3: 1, 4: 4}",0
100,False,"{'a': 0.5, 'e': 0.9249090598573131}",25,0,-164.80883436769082,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9234192948725779}",30,0,-236.05105640351945,"{0: 17, 1: 1, 2: 5, 3: 4, 4: 3}",0
102,False,"{'a': 0.5, 'e': 0.9219154846981701}",30,6,-98.76234208655524,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.9203976522070132}",20,0,-135.83354739695775,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9188658204853104}",25,0,-77.49091936090896,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.9173200128321926}",20,0,-25.053732384489948,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.9157602527593641}",30,11,-149.8833542257416,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 2}",1
107,False,"{'a': 0.5, 'e': 0.9141865639907458}",30,0,-153.96182842881834,"{0: 15, 1: 3, 2: 11, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.9125989704621137}",25,5,-108.44204585040444,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",1
109,False,"{'a': 0.5, 'e': 0.9109974963207345}",20,0,-89.125271753177,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.9093821659249989}",20,0,-229.64826129442778,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
111,False,"{'a': 0.5, 'e': 0.9077530038440513}",25,0,-93.03972738559864,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9061100348574157}",25,0,-192.82646485921038,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
113,False,"{'a': 0.5, 'e': 0.9044532839546183}",25,0,-140.1714714023839,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.9027827763348087}",20,0,-66.4200079352674,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9010985374063755}",20,0,-80.8694218310721,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.8994005927865603}",25,0,-147.06865788337905,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.897688968301068}",30,4,-144.17962514402134,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 2}",1
118,False,"{'a': 0.5, 'e': 0.8959636899836741}",20,0,-121.33779779961235,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.8942247840758287}",20,0,-67.20547136004643,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.8924722770262569}",20,0,-111.59777072657863,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.8907061954905571}",25,0,-103.15857583511313,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.8889265663307955}",25,3,-95.85061092174496,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.8871334166150974}",20,0,-20.779341703740503,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.8853267736172353}",20,8,-17.602450537770025,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.8835066648162144}",25,0,-104.86851763772657,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.8816731178958546}",20,0,-108.62839939028308,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.8798261607443689}",20,0,-116.08248541635268,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.8779658214539403}",20,10,-16.170415504295978,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
